Feature,Threshold Value
0,0.8846262353195821
1,0.7354391414582203
2,0.3704979463688519
3,0.9506658818562798
4,0.20698509296142564
5,0.6861788962369646
6,0.49971484966103225
7,0.8947534790762893
8,0.2910913977590338
9,0.25923235038808423
10,0.330937379143717
11,0.65060807672571
12,0.7871381955366161
13,0.72209478899035
14,0.21356735420612152
15,0.05222138624493933
16,0.8197544844580805
17,0.6837466342794147
18,0.45962457260210565
19,0.03901132756252501
20,0.7304511184641531
21,0.6781715669971831
22,0.4351420479791299
23,0.8326554274762472
24,0.8071773328120947
25,0.6449264194748876
26,0.7731428910582056
27,0.9640512364247218
28,0.3708644380007064
29,0.8936200196546716
30,0.46808937490513963
31,0.5185282185382474
32,0.790860486125784
33,0.7824330872796403
34,0.350669883338026
35,0.826416966287485
36,0.48409824587220074
37,0.29575376536309905
38,0.07391724537984912
39,0.1278822738837198
40,0.8313614234273101
41,0.6212478599785576
42,0.9287859887191412
43,0.6537406155261292
44,0.9169595299086551
45,0.6128263424524564
46,0.11076382394261716
47,0.5134944006876538
48,0.08053043533290838
49,0.8495462392034531
50,0.8149328801471125
51,0.538177708366661
52,0.0797455322231162
53,0.013971020681048163
54,0.26752457442288846
55,0.9224206472919487
56,0.660258708435087
57,0.6164210089663543
58,0.6463515947879419
59,0.5080348807766235
60,0.09618308800918207
61,0.842437103003871
62,0.43110859484747066
63,0.6786016308190428
64,0.5770489365461072
65,0.6524244021851071
66,0.7463438482487613
67,0.7857600966675006
68,0.6540776612263208
69,0.2910304416757465
70,0.8846694424446185
71,0.9402342824813537
72,0.1235132871281106
73,0.7268247861656701
74,0.6627848589974004
75,0.5954633539990333
76,0.1417739371208646
77,0.807049591395944
78,0.7799278375840595
79,0.8846240960233837
80,0.7180392861617626
81,0.8926658289994814
82,0.32072988227245797
83,0.814287169909667
84,0.08457196025088215
85,0.25065715090333063
86,0.6532121644700568
87,0.9133930349227601
88,0.047462009742086364
89,0.9281426400665626
90,0.5545666682699991
91,0.9651090347900966
92,0.29911868530610203
93,0.7473164553341741
94,0.013581685350264827
95,0.4551770492899692
96,0.48581422585158107
97,0.3475279928209303
98,0.18483992881389777
99,0.7306096975572824
100,0.7535120148625793
101,0.8219741824074784
102,0.6636868377137507
103,0.9009240110010563
104,0.5986215402977653
105,0.884271390503911
106,0.7055653472766803
107,0.25754241417314416
108,0.2836558619081836
109,0.3169803033744384
110,0.8614261317623593
111,0.07723550033417581
112,0.13775228896529623
113,0.20826350498275303
114,0.9926803936158866
115,0.9713231000780438
116,0.08502456970828587
117,0.21814098254477532
118,0.13021324856733507
119,0.37588152123068586
120,0.7300628255989828
121,0.08217920325310743
122,0.480497497667776
123,0.2600678792320107
124,0.8221705761041685
125,0.5663718479763574
126,0.43683709662330805
127,0.5835381404929016
128,0.34729694393529104
129,0.6337710607882028
130,0.8769782819138481
131,0.8293172132278239
132,0.9892900546494688
133,0.641808504865343
134,0.8198089159623367
135,0.9950291598770593
136,0.09879169401145271
137,0.28474764306528577
138,0.6110087174857283
139,0.07527005144147902
140,0.5885118909124363
141,0.7375757397951369
142,0.4401368625004036
143,0.1481084285968821
144,0.8405442979297115
145,0.8104296666646471
146,0.8964747687145326
147,0.7440331014028316
148,0.3895951798272302
149,0.060518911696720856
150,0.4662198150296422
151,0.13237398496573394
152,0.24146966988903873
153,0.5758247219896897
154,0.695857962496365
155,0.5744890007531
156,0.7479285195222122
157,0.7338464965206993
158,0.8194911903542597
159,0.8706687700647688
160,0.44108934282741147
161,0.21900786446741427
162,0.7730197614014959
163,0.27405653208639497
164,0.5202314921772142
165,0.26943594356056316
166,0.7439942379543807
167,0.8941615125850028
168,0.47039636659528217
169,0.14415428908485217
170,0.761911192859158
171,0.5988134143173572
172,0.8482443485653223
173,0.54604738618623
174,0.6522478529062418
175,0.07364982444798462
176,0.7496693364356738
177,0.7655853052943191
178,0.8860215223626456
179,0.048441435558766344
180,0.6173006466421044
181,0.6092511327917907
182,0.6528768303092745
183,0.5979082522107048
184,0.11180840431408656
185,0.9619189386002716
186,0.1620987275326442
187,0.5569771454317658
188,0.6222221622392887
189,0.102821369958076
190,0.03239057728911798
191,0.6939164609932977
192,0.7132551602592281
193,0.14264278303347222
194,0.256420999372035
195,0.9574140134561733
196,0.34798883830995697
197,0.8339838992839891
198,0.7519928582074077
199,0.6840632567709637
200,0.8165215339232483
201,0.5031525952068425
202,0.6213725154775738
203,0.9715964405962995
204,0.8705112406796848
205,0.9062906338984962
206,0.7941252756356563
207,0.3402707112937495
208,0.46709409470770447
209,0.6486001649368133
210,0.307992521870572
211,0.4543797733843254
212,0.7546819943851562
213,0.20493096930597643
214,0.4475723999051669
215,0.07690941899702383
